class	ref	abbrev	clade
ERV	cd00096	Ig	Vertebrata
ERV	cd05717	IgV_1_Necl_like	Vertebrata
ERV	cd05718	IgV_1_PVR_like	Vertebrata
ERV	cd05719	IgC1_2_PVR_like	Vertebrata
ERV	cd05725	IgI_3_Robo	Vertebrata
ERV	cd05759	IgI_2_KIRREL3-like	Vertebrata
ERV	cd05846	IgV_1_MRC-OX-2_like	Vertebrata
ERV	cd05882	IgV_1_Necl-1	Vertebrata
ERV	cd05886	IgV_1_Nectin-1_like	Vertebrata
ERV	cd05887	IgV_1_Nectin-3_like	Vertebrata
ERV	cd05888	IgV_1_Nectin-4_like	Vertebrata
ERV	cd05889	IgV_1_DNAM-1_like	Vertebrata
ERV	cd05890	IgC1_2_Nectin-1_like	Vertebrata
ERV	cd07703	IgC1_2_Nectin-2_Necl-5_like	Vertebrata
ERV	cd07704	IgC1_2_Nectin-3-4_like	Vertebrata
ERV	cd16089	IgV_CRIg	Vertebrata
ERV	cd20930	Ig3_Nectin-5_like	Vertebrata
ERV	cd20946	IgV_1_JAM1-like	Vertebrata
ERV	cd20989	IgV_1_Nectin-2_NecL-5_like_CD112_CD155	Vertebrata
ERV	pfam07686	V-set	Vertebrata
ERV	pfam13927	Ig_3	Vertebrata
ERV	smart00410	IG_like	Vertebrata
Polinton	cd04277	ZnMc_serralysin_like	Insecta
Polinton	cd04278	ZnMc_MMP	Insecta
Polinton	cd04279	ZnMc_MMP_like_1	Insecta
Polinton	smart00235	ZnMc	Insecta
